ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1774368000000,2026-03-24T16:00:00+00:00,295.45,295.63,290.47,290.48,1524.58,446184.3148,290.48,290.48,290.48,290.48,290.48,,,,,
1774382400000,2026-03-24T20:00:00+00:00,290.48,293.93,290.27,293.26,2505.29,732796.352,290.7447619047619,290.7327272727273,290.58901960784317,290.5350495049505,290.5076616915423,,,,,
1774396800000,2026-03-25T00:00:00+00:00,293.26,294.51,292.64,293.09,1068.86,313818.6267,290.9681179138322,290.94702479338844,290.68709727028073,290.5856425840604,290.5333566000842,,,,,
1774411200000,2026-03-25T04:00:00+00:00,293.09,293.62,292.47,292.98,1090.47,319601.5107,291.1597257315625,291.1318407212622,290.77701502438737,290.6330556021978,290.5577013105311,,,,,
1774425600000,2026-03-25T08:00:00+00:00,292.98,294.94,292.94,294.41,3020.82,888603.6812,291.46927566188987,291.42985520114746,290.91948502343104,290.7078465803721,290.5960326407746,,,,,
1774440000000,2026-03-25T12:00:00+00:00,294.41,296.06,289.38,290.75,7378.43,2161641.1714,291.4007732179004,291.36805018286134,290.9128385519239,290.7086813015529,290.5975646542992,,,,,
1774454400000,2026-03-25T16:00:00+00:00,290.75,291.85,289.65,291.03,2031.55,591037.1662,291.36546148286226,291.33731834805576,290.9174331185152,290.71504404805677,290.60186749355995,,,,,
1774468800000,2026-03-25T20:00:00+00:00,291.03,291.53,289.93,290.25,283.73,82445.0963,291.259227055923,291.23847122550524,290.8912592707303,290.705835255026,290.5983663244698,,,,,
1774483200000,2026-03-26T00:00:00+00:00,290.25,291.1,289.82,290.99,1338.0,388585.2914,291.23358638393034,291.21588293227745,290.8951314561919,290.7114622796789,290.60226317696265,,,,,
1774497600000,2026-03-26T04:00:00+00:00,290.99,291.09,289.81,290.15,1733.31,503269.5024,291.1303876806989,291.1189844838886,290.86591061477264,290.70034421473474,290.5977630458486,,,,,
1774512000000,2026-03-26T08:00:00+00:00,290.15,290.41,287.35,287.48,2597.19,749534.5017,290.78273171110857,290.788167712626,290.7331298063502,290.63657502236373,290.56674052797945,,,,,
1774526400000,2026-03-26T12:00:00+00:00,287.48,288.25,284.36,285.07,8712.02,2496205.918,290.23866202433635,290.2683342842054,290.51104628453254,290.5263458140001,290.5120465923777,,,,,
1774540800000,2026-03-26T16:00:00+00:00,285.07,285.3,279.36,281.21,8617.57,2424527.0504,289.37878945059003,289.44484934927766,290.1462993714136,290.3418637186733,290.4194889148416,,,,,
1774555200000,2026-03-26T20:00:00+00:00,281.21,282.79,280.67,281.89,1453.97,409747.2648,288.6655714076767,288.75804486297966,289.8225229254758,290.17450008067976,290.3346183783756,,,,,
1774569600000,2026-03-27T00:00:00+00:00,281.89,282.42,281.16,282.32,1388.42,391563.6528,288.06123127361224,288.17276805725425,289.52830634016306,290.0189654256168,290.2548709318246,30.422264875239847,2.7135714285714294,5.001316135825156,38.1679389312977,
1774584000000,2026-03-27T04:00:00+00:00,282.32,284.34,282.26,282.41,2647.26,749630.1383,287.52301877136347,287.6488800520493,289.2491570719214,289.8682928429313,290.1768125145925,30.74436034976857,2.668316326530612,9.86252127191708,36.042754163559536,
1774598400000,2026-03-27T08:00:00+00:00,282.41,282.88,277.05,278.52,3244.31,908276.1456,286.665588412186,286.8189818654994,288.828405814199,289.6435741727742,290.0608243303677,25.294016434228197,2.894150874635567,8.44343988264242,43.715143769163426,
1774612800000,2026-03-27T12:00:00+00:00,278.52,279.6,275.66,277.97,5447.33,1511967.5571,285.837437134835,286.0145289686358,288.40258597834804,289.4124142881648,289.94051762061287,24.629192881701556,2.9688543835901693,7.643055317724295,42.91546863342706,
1774627200000,2026-03-27T16:00:00+00:00,277.97,278.01,274.2,274.82,3931.13,1083833.3199,284.7881574077079,284.9968445169416,287.8699355478246,289.12345558938927,289.790064708965,21.193435349120023,3.0289362133337288,6.956344616353303,42.50259535618581,
1774641600000,2026-03-27T20:00:00+00:00,274.82,274.85,273.43,273.46,836.65,229377.122,283.70928527364043,283.94804046994693,287.3048400361452,288.8132881519756,289.62757650290564,19.902532087357883,2.914012198095606,6.714213819075699,42.91063155857107,
1774656000000,2026-03-28T00:00:00+00:00,273.46,273.77,273.35,273.58,2146.29,587236.8989,282.74459143805564,283.0054913363154,286.7666110151199,288.51163888163944,289.46789912476726,20.363458664016775,2.735868469660203,6.64058951410417,42.64896314019953,
1774670400000,2026-03-28T04:00:00+00:00,273.58,274.18,273.3,273.7,1397.66,382460.1546,281.88320177728843,282.15953757846853,286.25419489687994,288.218339101805,289.3110046061129,20.853945006076856,2.603306436113045,7.6051947215407925,41.61919886365313,
1774684800000,2026-03-28T08:00:00+00:00,273.7,274.3,273.16,274.07,2956.65,809084.8979,281.13908732230857,281.424125071335,285.7763833322964,287.9381739710762,289.1593528189874,22.440140470773102,2.4987845478192554,7.357362173451911,40.66313728181172,
1774699200000,2026-03-28T12:00:00+00:00,274.07,274.6,274.0,274.13,1366.95,374953.589,280.4715551963744,280.76102279212273,285.3196624173044,287.6647447835301,289.00980701979347,22.710649210053433,2.363157080117882,8.130709673926436,39.92568910362318,
1774713600000,2026-03-28T16:00:00+00:00,274.13,274.8,274.13,274.53,606.55,166549.651,279.90569279671973,280.19456617465704,284.8965384009395,287.40465082742065,288.8657293380045,24.598712178645314,2.2422172886808913,8.594294938130606,39.07352842466146,
