ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1773705600000,2026-03-17T00:00:00+00:00,252.54,252.75,251.66,251.74,750.43,189286.389,251.74,251.74,251.74,251.74,251.74,251.74,,,,,
1773720000000,2026-03-17T04:00:00+00:00,251.74,252.35,251.17,251.83,900.43,226679.6995,251.76,251.74857142857144,251.74818181818182,251.7435294117647,251.74178217821785,251.7408955223881,,,,,
1773734400000,2026-03-17T08:00:00+00:00,251.83,252.33,251.51,251.92,1630.68,410682.1336,251.79555555555555,251.76489795918368,251.76380165289257,251.75044982698964,251.7453112439957,251.7426776564937,,,,,
1773748800000,2026-03-17T12:00:00+00:00,251.92,255.03,251.75,254.41,6545.27,1660292.5694,252.37654320987656,252.01681243926143,252.00436513899322,251.85474591220574,251.79807735797598,251.7692181773246,,,,,
1773763200000,2026-03-17T16:00:00+00:00,254.41,255.08,253.13,254.24,5491.38,1396386.9141,252.79064471879286,252.2285445879032,252.20760467181202,251.94828528819767,251.84643226177843,251.79380307108258,,,,,
1773777600000,2026-03-17T20:00:00+00:00,254.24,254.51,253.75,253.94,1902.38,483477.559,253.04605700350555,252.3915403414362,252.36509515619275,252.02639174748404,251.88788904867388,251.81515826440514,,,,,
1773792000000,2026-03-18T00:00:00+00:00,253.94,255.08,253.85,255.0,1240.41,315835.6735,253.4802665582821,252.63996507082322,252.60463196017523,252.143003835818,251.9495150081061,251.8468482319235,,,,,
1773806400000,2026-03-18T04:00:00+00:00,255.0,255.72,254.84,254.96,952.85,243215.9946,253.80909621199717,252.8609207783639,252.81875632743203,252.25347427362908,252.00912857230202,251.87782486643175,,,,,
1773820800000,2026-03-18T08:00:00+00:00,254.96,255.28,254.6,254.92,989.88,252432.9293,254.05596372044224,253.05702356137684,253.00977847948366,252.35804390995736,252.06676959067227,251.90809526577075,,,,,
1773835200000,2026-03-18T12:00:00+00:00,254.92,254.96,251.56,251.8,7883.93,1995938.0691,253.55463844923284,252.9373070317219,252.89979861771243,252.3361598350571,252.06148702452035,251.90701969098697,,,,,
1773849600000,2026-03-18T16:00:00+00:00,251.8,251.99,249.21,249.99,7709.06,1931691.5474,252.76249657162555,252.6566111239389,252.63527147064767,252.24415356701564,252.02046747948032,251.88794486819108,,,,,
1773864000000,2026-03-18T20:00:00+00:00,249.99,250.42,249.07,250.1,2956.89,738798.2768,252.17083066681988,252.41312435023042,252.40479224604334,252.1600691134072,251.9824384204807,251.87015437199017,,,,,
1773878400000,2026-03-19T00:00:00+00:00,250.1,250.75,249.86,250.42,1682.14,420942.5809,251.78175718530434,252.22330298354183,252.22435658731212,252.09183110895984,251.9514990458177,251.85572497525393,,,,,
1773892800000,2026-03-19T04:00:00+00:00,250.42,250.42,249.39,249.39,1612.0,402861.126,251.25025558857004,251.9534646041569,251.96668780664737,251.98587694782415,251.90077629243515,251.83119039838576,,,,,
1773907200000,2026-03-19T08:00:00+00:00,249.39,251.71,249.32,251.18,3482.64,872851.5557,251.23464323555447,251.8798013085229,251.89517073331578,251.95427393026242,251.88650349456515,251.82471089193416,47.75280898876404,1.61571428571429,24.668435013262712,29.752431476569534,
1773921600000,2026-03-19T12:00:00+00:00,251.18,251.81,247.64,249.66,16825.45,4203417.1554,250.88472251654235,251.66839166009214,251.69197339392343,251.86430240358547,251.84241431645495,251.80317148007413,42.20779220779215,1.7981632653061277,20.582226762002133,31.497559868346492,
1773936000000,2026-03-19T16:00:00+00:00,249.66,249.99,247.8,249.0,8338.48,2075024.7639,250.46589529064403,251.41425912103577,251.44724853993037,251.75197681913113,251.78612888444593,251.77527922654107,40.03400033442948,1.826151603498547,18.819148426648876,28.799471558344216,
