ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1770480000000,2026-02-07T16:00:00+00:00,50.75,50.89,50.48,50.78,1974.34,100086.5249,50.78,50.78,50.78,50.78,50.78,50.78,,,,,
1770566400000,2026-02-08T16:00:00+00:00,50.78,51.81,47.65,50.3,25502.3,1266999.43,50.67333333333333,50.73428571428572,50.736363636363635,50.76117647058823,50.77049504950495,50.77522388059702,,,,,
1770652800000,2026-02-09T16:00:00+00:00,50.3,51.27,48.09,48.26,27589.46,1370261.3908,50.13703703703704,50.49863945578231,50.511239669421485,50.66309111880046,50.72078227624743,50.7501967773075,,,,,
1770739200000,2026-02-10T16:00:00+00:00,48.26,49.49,46.84,48.07,40589.71,1948324.6543,49.677695473251035,50.26734045999352,50.28930879038317,50.561401271004364,50.668291538103915,50.72352815265768,,,,,
1770825600000,2026-02-11T16:00:00+00:00,48.07,48.94,47.41,47.58,45169.25,2169222.4486,49.21154092363969,50.01140327332747,50.043007991257426,50.444483574102236,50.60713725022067,50.69224926556656,,,,,
1770912000000,2026-02-12T16:00:00+00:00,47.58,47.71,45.04,47.11,42210.4,1964519.9429,48.74453182949753,49.735079152058184,49.77637090114311,50.313719512372735,50.53788700764204,50.6566049942674,,,,,
1770998400000,2026-02-13T16:00:00+00:00,47.11,47.54,46.35,46.62,21829.23,1026303.6773,48.27241364516475,49.43840494710026,49.489428091948284,50.16886776678949,50.46030508669863,50.61643977044385,,,,,
1771084800000,2026-02-14T16:00:00+00:00,46.62,46.77,46.58,46.68,858.35,40033.1226,47.91854394623925,49.1756997140431,49.2340255381348,50.03204942299382,50.38544756022935,50.57727121551406,,,,,
1771171200000,2026-02-15T16:00:00+00:00,46.68,46.8,46.6,46.71,2392.33,111810.2108,47.64997862485275,48.94087116984851,49.004568671031635,49.901772975033275,50.31266642042283,50.538790904911934,,,,,
1771257600000,2026-02-16T16:00:00+00:00,46.71,46.95,45.34,46.08,38143.33,1752763.5413,47.301094485996586,48.668407248910555,48.738698791846936,49.751899525031966,50.228851243780795,50.4944248262561,,,,,
1771344000000,2026-02-17T16:00:00+00:00,46.08,46.82,44.95,46.57,30942.06,1428340.994,47.13862904466401,48.46855893949051,48.541544356224485,49.627119151501304,50.15639874390394,50.455375823009774,,,,,
1771430400000,2026-02-18T16:00:00+00:00,46.57,46.76,43.99,44.76,15221.07,683938.818,46.61004481251645,48.115362850015224,48.197767596567715,49.43625173379537,50.04953936283654,50.39870541681067,,,,,
1771516800000,2026-02-19T16:00:00+00:00,44.76,44.91,42.92,43.71,26956.99,1177792.3492,45.965590409735015,47.6958044833471,47.78978872415247,49.21169284227398,49.924003929909084,50.33215113405634,,,,,
1771603200000,2026-02-20T16:00:00+00:00,43.71,44.36,43.28,44.06,12670.56,555498.9848,45.54212587423835,47.349537389694994,47.45071702195679,49.00966567198873,49.807885040207914,50.269741670035884,,,,,
1771689600000,2026-02-21T16:00:00+00:00,44.06,44.21,43.98,44.02,1360.27,59956.8529,45.20387567996316,47.03243859067642,47.13883365632435,48.813992508381325,49.693273455253305,50.207555185756924,10.788863109048776,1.808571428571428,0.11848341232225135,40.007898894154806,
1771776000000,2026-02-22T16:00:00+00:00,44.02,44.52,43.29,44.08,13540.68,594152.4055,44.95412552886023,46.75125396299295,46.86075786938577,48.62834574334676,49.5821195254463,50.14658448739119,11.452612931798072,1.7672448979591835,0.1125931058374971,40.80778335931633,
1771862400000,2026-02-23T16:00:00+00:00,44.08,45.85,43.29,45.7,19290.86,853234.5557,45.11987541133574,46.651134537946,46.75523442671434,48.51350865537238,49.505245871477065,50.10233986562611,27.201689427633596,1.8238702623906704,5.310008591923566,36.71648650268746,
