Time Berlin,Update Berlin,Exchange,Symbol,Status,Trade Side,Order Side,Position Side,Order Type,Source,Qty,Order Qty,Limit Price,Avg Price,Quote Volume,Leverage,Margin Mode,TP,SL,Fee,Realized PnL,Net PnL Est,Order ID,Client OID,Notes
2026-04-30 22:25:31,2026-05-01 06:18:35,Bitget Futures,GMEUSDT,canceled,close,buy,long,limit,api,0,58.65,25.05,,0,2,isolated,,,0,0,0.0,1433842998482464769,tvflow_gme_20260430_partial_tp_50,
2026-04-29 22:02:53,2026-04-29 22:02:53,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,sys,5.77,5.77,,358.3,2067.3962,4,isolated,,,-0.13438075,61.76941151,61.63503076,1433474917071482883,1433376117705666560,
2026-04-29 16:27:12,2026-04-29 16:27:12,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,sys,4.3,4.3,,353.34,1519.382,4,isolated,,,-0.09875983,24.72078848,24.62202865,1433390439678504962,1433318102768021504,
2026-04-29 07:55:35,2026-04-29 15:30:17,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,api,5.77,5.77,346.4,346.4,1998.728,4,isolated,358.8,341.2,0,0,0.0,1433261686591746049,tvflow_googl_20260429_L2,
2026-04-29 07:55:34,2026-04-29 11:39:46,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,api,4.3,4.3,349.2,349.2,1501.56,4,isolated,353.4,341.2,0,0,0.0,1433261681713770501,tvflow_googl_20260429_L1,
2026-04-27 19:11:25,2026-04-29 15:30:17,Bitget Futures,GMEUSDT,filled,open,buy,long,limit,api,55.57,55.57,24.45,24.45,1358.6865,2,isolated,28.5,23.85,0,0,0.0,1432706991322198018,tvflow-gme-ladder-20260427-l3,
2026-04-27 19:11:25,2026-04-29 15:30:10,Bitget Futures,GMEUSDT,filled,open,buy,long,limit,api,35.08,35.08,24.8,24.8,869.984,2,isolated,27.1,23.85,0,0,0.0,1432706988700758017,tvflow-gme-ladder-20260427-l2,
2026-04-27 19:11:24,2026-04-28 15:30:46,Bitget Futures,GMEUSDT,filled,open,buy,long,limit,api,26.66,26.66,25.1,25.1,669.166,2,isolated,26.35,23.85,0,0,0.0,1432706985806688257,tvflow-gme-ladder-20260427-l1,
2026-04-27 13:00:27,2026-04-27 13:00:27,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,sys,8.28,8.28,,346.66,2870.3935,6,isolated,,,-0.18657557,92.46753389,92.28095832,1432613632003960833,1431048082990047232,
2026-04-23 19:41:19,2026-04-23 19:41:19,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,android,2.84,2.84,,198.49,563.7116,3,isolated,,,-0.03664125,-0.0284,-0.06504125,1431264962725703681,1430422656596791296,
2026-04-23 15:28:33,2026-04-23 15:28:33,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,sys,8.24,8.24,,341.05,2810.2709,6,isolated,,,-0.1826676,45.7648661,45.5821985,1431201352339058688,1431001998179704833,
2026-04-22 23:11:30,2026-04-23 05:19:35,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,api,8.28,8.28,334.8,334.8,2772.144,6,isolated,346.8,330.7,0,0,0.0,1430955469718581249,tvflow-googl-20260422-l2,
2026-04-22 23:11:29,2026-04-23 02:16:23,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,api,8.24,8.24,336.2,336.2,2770.288,6,isolated,341.2,330.7,0,0,0.0,1430955466837094401,tvflow-googl-20260422-l1,
2026-04-20 11:57:09,2026-04-20 16:51:16,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,2.84,2.84,198.5,198.5,563.74,3,isolated,205,189.7,0,0,0.0,1430060988492312577,nvda_oco_A_1,
2026-04-15 16:03:19,2026-04-15 16:03:19,Bitget Futures,TSLAUSDT,filled,close,sell,short,market,sys,4.8,4.8,,372.16,1786.368,3,isolated,,,-0.11611392,-21.78140341,-21.89751733,1428311000259129349,1428102805790400513,
2026-04-15 16:03:19,2026-04-15 16:03:19,Bitget Futures,TSLAUSDT,filled,close,sell,short,market,sys,10.25,10.25,,372.16,3814.64,3,isolated,,,-0.2479516,-46.51237187,-46.76032347,1428311000259129346,1428113060603633665,
2026-04-15 16:03:19,2026-04-15 16:03:19,Bitget Futures,TSLAUSDT,filled,close,sell,short,market,sys,7.78,7.78,,372.14,2895.2075,3,isolated,,,-0.18818848,-35.1067247,-35.29491318,1428311000246546433,1428112506284417025,
2026-04-14 23:22:28,2026-04-15 02:59:22,Bitget Futures,TSLAUSDT,filled,open,sell,short,limit,api,10.25,10.25,368.1,368.1,3773.025,3,isolated,353.3,372,0,0,0.0,1428059125202972673,tvflow-1776201747916-d445239d,
2026-04-14 23:22:23,2026-04-15 02:54:35,Bitget Futures,TSLAUSDT,filled,open,sell,short,limit,api,7.78,7.78,367.5,367.5,2859.15,3,isolated,353.3,372,0,0,0.0,1428059105338748929,tvflow-1776201743149-ddf365fe,
2026-04-14 23:22:18,2026-04-15 02:16:06,Bitget Futures,TSLAUSDT,filled,open,sell,short,limit,api,4.8,4.8,366.8,366.8,1760.64,3,isolated,358.8,372,0,0,0.0,1428059084069433564,tvflow-1776201738065-1de47964,
