Time Berlin,Update Berlin,Exchange,Symbol,Status,Trade Side,Order Side,Position Side,Order Type,Source,Qty,Order Qty,Limit Price,Avg Price,Quote Volume,Leverage,Margin Mode,TP,SL,Planned Risk $,Planned Reward $,Planned R:R,Risk/Unit,Reward/Unit,Notional $,Est Margin $,Fill Ratio,Entry Slip/Unit $,Entry Slip $,Entry Slip bps,Fee,Realized PnL,Net PnL Est,Order ID,Client OID,Notes
2026-06-04 17:45:56,2026-06-04 17:48:29,Bitget Futures,TQQQUSDT,filled,open,buy,long,limit,api,16.52,16.52,84.57,84.57,1397.0964,4,isolated,87.17,82.15,39.9784,42.952,1.0744,2.42,2.6,1397.0964,349.2741,1.0,,,,-0.27941928,0,-0.27941928,1446456214450499585,oc-tqqq-gptB-4x-20260604-L1,
2026-06-04 17:40:14,2026-06-04 17:40:14,Bitget Futures,TSMUSDT,filled,close,buy,long,market,sys,1.67,1.67,,447.17,746.7771,6,isolated,,,,,,,,746.7771,124.4629,1.0,,,,-0.44806626,25.06484789,24.61678163,1446454783110705153,1446180420413550592,
2026-06-04 11:12:17,2026-06-04 11:12:17,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,11.43,11.43,,212.76,2431.8468,6,isolated,,,,,,,,2431.8468,405.3078,1.0,,,,-1.45910808,-64.36076345,-65.81987153,1446357150933348354,1446063414964121601,
2026-06-04 11:12:17,2026-06-04 11:12:17,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,6.3,6.3,,212.76,1340.388,6,isolated,,,,,,,,1340.388,223.398,1.0,,,,-0.8042328,-35.47443654,-36.27866934,1446357150924959746,1446062760396845057,
2026-06-03 15:41:02,2026-06-03 15:41:02,Bitget Futures,APPUSDT,filled,close,buy,long,market,sys,3.44,3.44,,573.5,1972.8604,12,isolated,,,,,,,,1972.8604,164.405,1.0,,,,-1.18371624,-33.74403246,-34.9277487,1446062394500083714,1445700388180193281,
2026-06-03 15:41:02,2026-06-03 15:41:02,Bitget Futures,APPUSDT,filled,close,buy,long,market,sys,9.99,9.99,,575,5744.3266,12,isolated,,,,,,,,5744.3266,478.6939,1.0,,,,-3.44659596,-82.99266753,-86.43926349,1446062394491695105,1446061117244698625,
2026-06-02 22:48:34,2026-06-04 14:33:41,Bitget Futures,BTCUSDT,canceled,open,sell,short,limit,api,0,0.0558,70675,,0,4,isolated,65088,71750,,,,,,,,,,,,0,0,0.0,1445807600560664577,oc-btc-staticB-4x-20260602-S2,
2026-06-02 22:47:21,2026-06-04 14:33:43,Bitget Futures,BTCUSDT,canceled,open,sell,short,limit,api,0,0.0178,69500,,0,4,isolated,66380,71750,,,,,,,,,,,,0,0,0.0,1445807294179340289,oc-btc-staticB-4x-20260602-S1,
2026-06-02 17:35:51,2026-06-02 17:35:51,Bitget Futures,ARMUSDT,filled,close,buy,long,market,sys,1.66,1.66,,421.76,700.131,4,isolated,,,,,,,,700.131,175.0327,1.0,,,,-0.4200786,52.067,51.6469214,1445728903841345538,1445699821630386176,
2026-06-02 12:55:03,2026-06-02 22:46:20,Bitget Futures,BTCUSDT,canceled,open,sell,short,limit,api,0,0.0285,72400,,0,4,isolated,68000,74500,,,,,,,,,,,,0,0,0.0,1445658236647272449,oc-btc-b-hvoco-4x-20260602-S2,
2026-06-02 12:53:23,2026-06-02 22:46:21,Bitget Futures,BTCUSDT,canceled,open,sell,short,limit,api,0,0.0129,71400,,0,4,isolated,68000,74500,,,,,,,,,,,,0,0,0.0,1445657818781347841,oc-btc-b-hvoco-4x-20260602-S1,
2026-06-02 08:23:54,2026-06-03 15:36:55,Bitget Futures,APPUSDT,filled,open,buy,long,limit,api,9.99,9.99,581.95,581.95,5813.6805,12,isolated,625.57,576.25,56.943,435.7638,7.6526,5.7,43.62,5813.6805,484.4734,1.0,,,,-1.1627361,0,-1.1627361,1445590000320802955,oc-app-revB-12x-20260602-L2,
2026-06-02 08:23:44,2026-06-03 15:31:57,Bitget Futures,APPUSDT,filled,open,buy,long,limit,api,3.44,3.44,587.28,587.28,2020.2432,12,isolated,616.07,576.25,37.9432,99.0376,2.6102,11.03,28.79,2020.2432,168.3536,1.0,,,,-0.40404864,0,-0.40404864,1445589956561629185,oc-app-revB-12x-20260602-L1,
2026-06-02 08:03:18,2026-06-03 15:45:05,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,11.43,11.43,218,218,2491.74,6,isolated,230.8,212.75,60.0075,146.304,2.4381,5.25,12.8,2491.74,415.29,1.0,,,,-0.498348,0,-0.498348,1445584814449782785,oc-nvda-gptB-6x-20260602-L2,
2026-06-02 08:03:06,2026-06-03 15:42:30,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,6.3,6.3,219.1,219.1,1380.33,6,isolated,227.45,212.75,40.005,52.605,1.315,6.35,8.35,1380.33,230.055,1.0,,,,-0.276066,0,-0.276066,1445584767687487491,oc-nvda-gptB-6x-20260602-L1,
2026-06-02 07:45:58,2026-06-04 01:33:29,Bitget Futures,TSMUSDT,filled,open,buy,long,limit,api,3.09,3.09,430.9,430.9,1331.481,6,isolated,449.5,419.6,34.917,57.474,1.646,11.3,18.6,1331.481,221.9135,1.0,,,,-0.2662962,0,-0.2662962,1445580455762620417,oc-tsm-gptB-6x-20260602-L2,
2026-06-02 07:45:50,2026-06-03 23:30:01,Bitget Futures,TSMUSDT,filled,open,buy,long,limit,api,1.67,1.67,434.5,434.5,725.615,6,isolated,449,419.6,24.883,24.215,0.9732,14.9,14.5,725.615,120.9358,1.0,,,,-0.145123,0,-0.145123,1445580419221843969,oc-tsm-gptB-6x-20260602-L1,
2026-06-02 01:25:23,2026-06-02 01:25:23,Bitget Futures,EWYUSDT,filled,close,buy,long,market,sys,19.61,19.61,,217.88,4272.7944,5,isolated,,,,,,,,4272.7944,854.5589,1.0,,,,-2.56367664,196.8559,194.29222336,1445484677916422145,1445102723461525504,
2026-06-01 23:00:07,2026-06-02 18:06:52,Bitget Futures,ARMUSDT,canceled,open,buy,long,limit,api,0,2.5,376.05,,0,4,isolated,421.71,357.8,,,,,,,,,,,,0,0,0.0,1445448121491025921,oc-arm-A-4x-20260601-L2,
2026-06-01 23:00:05,2026-06-02 15:40:17,Bitget Futures,ARMUSDT,filled,open,buy,long,limit,api,1.66,1.66,390.4,390.4,648.064,4,isolated,421.71,357.8,54.116,51.9746,0.9604,32.6,31.31,648.064,162.016,1.0,,,,-0.1296128,0,-0.1296128,1445448113047891969,oc-arm-A-4x-20260601-L1,
2026-06-01 15:44:42,2026-06-01 15:44:42,Bitget Futures,CLUSDT,filled,close,sell,short,market,sys,8.06,8.06,,93.17,750.9463,5,isolated,,,,,,,,750.9463,150.1893,1.0,,,,-0.45056781,-16.9787721,-17.42933991,1445338544191729668,1445102625562275841,
2026-06-01 15:44:42,2026-06-01 15:44:42,Bitget Futures,CLUSDT,filled,close,sell,short,market,sys,25.81,25.81,,93.114,2403.2517,5,isolated,,,,,,,,2403.2517,480.6503,1.0,,,,-1.44195106,-52.91636514,-54.3583162,1445338544187535364,1445330799332171778,
2026-06-01 15:44:42,2026-06-01 15:44:42,Bitget Futures,CLUSDT,filled,close,sell,short,market,sys,15.22,15.22,,93.11,1417.1342,5,isolated,,,,,,,,1417.1342,283.4268,1.0,,,,-0.85028052,-31.15570275,-32.00598327,1445338544179146753,1445249854776258561,
2026-05-31 09:08:01,2026-06-01 01:01:53,Bitget Futures,EWYUSDT,filled,open,buy,long,limit,api,19.61,19.61,207.85,207.85,4075.9385,5,isolated,217.8,202.75,100.011,195.1195,1.951,5.1,9.95,4075.9385,815.1877,1.0,,,,-0.8151877,0,-0.8151877,1444876326824210433,oc-ewy-c1-5x-20260531,
2026-05-30 15:53:21,2026-06-01 15:13:56,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,25.81,25.81,91.55,91.55,2362.9055,5,isolated,83.05,93.1,40.0055,219.385,5.4839,1.55,8.5,2362.9055,472.5811,1.0,,,,-0.4725811,0,-0.4725811,1444615943257485313,oc-clus-b-voco-5x-20260530-S3,
2026-05-30 15:53:19,2026-06-01 09:52:17,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,15.22,15.22,90.8,90.8,1381.976,5,isolated,83.4,93.1,35.006,112.628,3.2174,2.3,7.4,1381.976,276.3952,1.0,,,,-0.2763952,0,-0.2763952,1444615936785674241,oc-clus-b-voco-5x-20260530-S2,
2026-05-30 15:53:17,2026-06-01 00:07:15,Bitget Futures,CLUSDT,filled,open,sell,short,limit,api,8.06,8.06,90,90,725.4,5,isolated,86.47,93.1,24.986,28.4518,1.1387,3.1,3.53,725.4,145.08,1.0,,,,-0.14508,0,-0.14508,1444615927931498497,oc-clus-b-voco-5x-20260530-S1,
2026-05-30 14:40:49,2026-05-30 14:40:49,Bitget Futures,CLUSDT,filled,close,sell,short,market,android,5.93,5.93,,88.127,522.5914,4,isolated,,,,,,,,522.5914,130.6479,1.0,,,,-0.31355485,37.91766461,37.60410976,1444597690133016578,1444597690133016579,
2026-05-29 16:59:41,2026-05-31 09:07:20,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,8.33,191.2,,0,2,isolated,213.8,186.4,,,,,,,,,,,,0,0,0.0,1444270249703272449,oc-ewy-b-2x-20260529-L3,
2026-05-29 16:59:22,2026-05-31 09:07:21,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,3.43,196.6,,0,2,isolated,211.8,186.4,,,,,,,,,,,,0,0,0.0,1444270168824508418,oc-ewy-b-2x-20260529-L2,
2026-05-29 16:59:11,2026-05-31 09:07:21,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,1.81,200.2,,0,2,isolated,217.8,186.4,,,,,,,,,,,,0,0,0.0,1444270122024464385,oc-ewy-b-2x-20260529-L1,
2026-05-29 16:11:06,2026-05-29 16:44:43,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,8.33,191.2,,0,20,isolated,213.8,186.4,,,,,,,,,,,,0,0,0.0,1444258024024338433,oc-ewy-bc-20260529-B-L3,
2026-05-29 16:09:40,2026-05-29 16:44:44,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,3.43,196.6,,0,20,isolated,211.8,186.4,,,,,,,,,,,,0,0,0.0,1444257663477772414,oc-ewy-bc-20260529-B-L2,
2026-05-29 16:07:59,2026-05-29 16:44:48,Bitget Futures,EWYUSDT,canceled,open,buy,long,limit,api,0,1.81,200.2,,0,20,isolated,217.8,186.4,,,,,,,,,,,,0,0,0.0,1444257237747527681,oc-ewy-bc-20260529-B-L1,
2026-05-28 15:42:18,2026-05-28 15:42:18,Bitget Futures,CLUSDT,filled,close,sell,short,market,android,1.48,1.48,,91.406,135.2808,4,isolated,,,,,,,,135.2808,33.8202,1.0,,,,-0.08116852,4.61008884,4.52892032,1443888387847778305,1443888387847778306,
2026-05-28 15:41:23,2026-05-28 15:41:24,Bitget Futures,CLUSDT,filled,close,sell,short,market,android,7.4,7.4,,91.454,676.7593,4,isolated,,,,,,,,676.7593,169.1898,1.0,,,,-0.4060556,22.69550421,22.28944861,1443888159283376128,1443888159283376129,
2026-05-27 14:48:46,2026-05-27 14:48:46,Bitget Futures,CLUSDT,filled,close,sell,short,market,api,4,4,,89.049,356.1926,4,isolated,,,,,,,,356.1926,89.0482,1.0,,,,-0.21371561,21.89100957,21.67729396,1443512526153871361,1442741890945347584,
